Data as of,Start Date,End Date,Sex,Age Years,Total deaths,COVID-19 Deaths
11/17/2021,01/01/2020,11/13/2021,Male,11 Years,562,9
11/17/2021,01/01/2020,11/13/2021,Male,12 Years,632,16
11/17/2021,01/01/2020,11/13/2021,Male,13 Years,907,19
11/17/2021,01/01/2020,11/13/2021,Male,14 Years,1210,12
11/17/2021,01/01/2020,11/13/2021,Male,15 Years,1661,31
11/17/2021,01/01/2020,11/13/2021,Male,16 Years,2379,30
11/17/2021,01/01/2020,11/13/2021,Male,17 Years,3197,50
11/17/2021,01/01/2020,11/13/2021,Male,18 Years,4358,63
11/17/2021,01/01/2020,11/13/2021,Male,19 Years,5307,97
11/17/2021,01/01/2020,11/13/2021,Male,20 Years,5547,112
11/17/2021,01/01/2020,11/13/2021,Male,21 Years,6352,142
11/17/2021,01/01/2020,11/13/2021,Male,22 Years,6586,157
11/17/2021,01/01/2020,11/13/2021,Male,23 Years,6817,192
11/17/2021,01/01/2020,11/13/2021,Male,24 Years,7231,237
11/17/2021,01/01/2020,11/13/2021,Male,25 Years,7818,234
11/17/2021,01/01/2020,11/13/2021,Male,26 Years,8280,274
11/17/2021,01/01/2020,11/13/2021,Male,27 Years,8820,350
11/17/2021,01/01/2020,11/13/2021,Male,28 Years,9436,392
11/17/2021,01/01/2020,11/13/2021,Male,29 Years,10167,484
11/17/2021,01/01/2020,11/13/2021,Male,30 Years,10590,521
11/17/2021,01/01/2020,11/13/2021,Male,31 Years,10877,599
11/17/2021,01/01/2020,11/13/2021,Male,32 Years,10885,607
11/17/2021,01/01/2020,11/13/2021,Male,33 Years,10996,686
11/17/2021,01/01/2020,11/13/2021,Male,34 Years,11372,785
11/17/2021,01/01/2020,11/13/2021,Male,35 Years,11700,837
11/17/2021,01/01/2020,11/13/2021,Male,36 Years,11911,904
11/17/2021,01/01/2020,11/13/2021,Male,37 Years,12361,1043
11/17/2021,01/01/2020,11/13/2021,Male,38 Years,12849,1063
11/17/2021,01/01/2020,11/13/2021,Male,39 Years,13690,1193
11/17/2021,01/01/2020,11/13/2021,Male,40 Years,14052,1234
11/17/2021,01/01/2020,11/13/2021,Male,41 Years,14271,1450
11/17/2021,01/01/2020,11/13/2021,Male,42 Years,14206,1566
11/17/2021,01/01/2020,11/13/2021,Male,43 Years,14783,1663
11/17/2021,01/01/2020,11/13/2021,Male,44 Years,15008,1903
11/17/2021,01/01/2020,11/13/2021,Male,45 Years,15665,2098
11/17/2021,01/01/2020,11/13/2021,Male,46 Years,16728,2247
11/17/2021,01/01/2020,11/13/2021,Male,47 Years,17794,2477
11/17/2021,01/01/2020,11/13/2021,Male,48 Years,20024,2787
11/17/2021,01/01/2020,11/13/2021,Male,49 Years,22452,3137
11/17/2021,01/01/2020,11/13/2021,Male,50 Years,24833,3576
11/17/2021,01/01/2020,11/13/2021,Male,51 Years,25599,3676
11/17/2021,01/01/2020,11/13/2021,Male,52 Years,27293,3938
11/17/2021,01/01/2020,11/13/2021,Male,53 Years,28890,4020
11/17/2021,01/01/2020,11/13/2021,Male,54 Years,31918,4380
11/17/2021,01/01/2020,11/13/2021,Male,55 Years,35710,4778
11/17/2021,01/01/2020,11/13/2021,Male,56 Years,39781,5445
11/17/2021,01/01/2020,11/13/2021,Male,57 Years,42646,5617
11/17/2021,01/01/2020,11/13/2021,Male,58 Years,46214,5900
11/17/2021,01/01/2020,11/13/2021,Male,59 Years,49907,6764
11/17/2021,01/01/2020,11/13/2021,Male,60 Years,53604,7085
11/17/2021,01/01/2020,11/13/2021,Male,61 Years,56535,7495
11/17/2021,01/01/2020,11/13/2021,Male,62 Years,59277,8006
11/17/2021,01/01/2020,11/13/2021,Male,63 Years,62889,8429
11/17/2021,01/01/2020,11/13/2021,Male,64 Years,64654,8607
11/17/2021,01/01/2020,11/13/2021,Male,65 Years,65942,9062
11/17/2021,01/01/2020,11/13/2021,Male,66 Years,67640,9266
11/17/2021,01/01/2020,11/13/2021,Male,67 Years,68492,9276
11/17/2021,01/01/2020,11/13/2021,Male,68 Years,69990,9705
11/17/2021,01/01/2020,11/13/2021,Male,69 Years,70839,10012
11/17/2021,01/01/2020,11/13/2021,Male,70 Years,73053,10479
11/17/2021,01/01/2020,11/13/2021,Male,71 Years,74971,10682
11/17/2021,01/01/2020,11/13/2021,Male,72 Years,78940,11379
11/17/2021,01/01/2020,11/13/2021,Male,73 Years,84715,12183
11/17/2021,01/01/2020,11/13/2021,Male,74 Years,80278,11779
11/17/2021,01/01/2020,11/13/2021,Male,75 Years,73386,10776
11/17/2021,01/01/2020,11/13/2021,Male,76 Years,77259,11261
11/17/2021,01/01/2020,11/13/2021,Male,77 Years,82711,11863
11/17/2021,01/01/2020,11/13/2021,Male,78 Years,83332,11885
11/17/2021,01/01/2020,11/13/2021,Male,79 Years,79468,11321
11/17/2021,01/01/2020,11/13/2021,Male,80 Years,77896,11191
11/17/2021,01/01/2020,11/13/2021,Male,81 Years,77714,10846
11/17/2021,01/01/2020,11/13/2021,Male,82 Years,77859,10874
11/17/2021,01/01/2020,11/13/2021,Male,83 Years,77569,10899
11/17/2021,01/01/2020,11/13/2021,Male,84 Years,76245,10367
11/17/2021,01/01/2020,11/13/2021,Male,85 Years and over,702854,87596
